region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type,spl,spr,pg,estimate_type
Europe & Central Asia,ECS,Albania,ALB,2016,national,HBS,national,2016,consumption,2,2014 - 2017,3,0.011406197517,0.001448848447,3.05814482e-4,0.001633319551,13.335877410822,10.934011108188,0.187580582292,0.337362987161,0.314380353846,0.029695862687,0.043512687517,0.054228763657,0.064288082889,0.075197730428,0.0889670339,0.105207039694,0.127040351202,0.161402136552,0.250460311474,0.913885654199,50.772304534912,2689469,4431.55635814168,3444.41471560082,FALSE,micro,survey,6.767,0.214639823016,3.038517325794,
Europe & Central Asia,ECS,Albania,ALB,2016,national,SILC-C,national,2016,income,4,2016 - 2018,3,0.103503872762,0.035201924858,0.018581995028,0.053176903446,10.582676669552,8.656102083592,0.273720042768,0.385655742935,0.350360081835,0.018382740654,0.034852508503,0.047918269233,0.060813779672,0.073589767184,0.088671505842,0.105685434976,0.129208138588,0.166303124233,0.274574731115,0.913885654199,50.772304534912,2689469,4431.55635814168,3444.41471560082,FALSE,micro,survey,5.628,0.294915683617,4.958164082944,
Europe & Central Asia,ECS,Albania,ALB,2017,national,HBS,national,2017,consumption,2,2014 - 2017,3,0.014444440683,0.002208793596,5.22650187e-4,0.002535714929,13.20734092887,10.841160357202,0.179908465048,0.330556627407,0.30852226484,0.030917738243,0.044587989906,0.05479103517,0.065082411437,0.076048935567,0.089085788241,0.10544002958,0.127174153392,0.160816011147,0.246055907316,0.93204146127,50.772304534912,2648285,4648.23078660658,3509.65146060851,FALSE,micro,survey,6.721,0.209629291444,3.028759502282,
Europe & Central Asia,ECS,Albania,ALB,2017,national,SILC-C,national,2017,income,4,2016 - 2018,3,0.088681989192,0.030330271182,0.015213914681,0.044460596506,11.078832551738,9.263284653682,0.254174929513,0.370951266866,0.332536623841,0.018980408536,0.036448518775,0.05009209566,0.063295776352,0.076485841442,0.090747059562,0.106507626353,0.129066837452,0.163898014246,0.264477821621,0.93204146127,50.772304534912,2648285,4648.23078660658,3509.65146060851,FALSE,micro,survey,5.932,0.276048543856,4.545554729802,
Europe & Central Asia,ECS,Albania,ALB,2018,national,HBS,national,2018,consumption,3,2018 - 2020,3,0.010100295277,0.001031908795,0.00016172018399999999,0.001126373028,14.170698049951,12.386625592313,0.15240441423,0.301482817366,0.265930116378,0.03170735814,0.04767776553,0.059737454217,0.070730734084,0.081340950257,0.093449785837,0.107498982472,0.12595946171,0.154551693206,0.227345814547,0.950943846104,50.772304534912,2607733,4893.82375538717,3668.73182008575,FALSE,micro,survey,7.493,0.190251438344,2.701914922098,
Europe & Central Asia,ECS,Albania,ALB,2018,national,SILC-C,national,2018,income,4,2016 - 2018,3,0.065904681455,0.02085582078,0.009724905381,0.029398821216,11.596248215865,9.789741141477,0.233051287027,0.359887519014,0.319245032793,0.021491020968,0.038550208415,0.051452788906,0.063934622067,0.077324684924,0.091300762542,0.10673536695,0.126765476848,0.162682972132,0.259762096249,0.950943846104,50.772304534912,2607733,4893.82375538717,3668.73182008575,FALSE,micro,survey,6.195,0.264003919338,4.062998954465,
Europe & Central Asia,ECS,Albania,ALB,2019,national,HBS,national,2019,consumption,3,2018 - 2020,3,0.002723694657,1.77129841e-4,1.6916202e-5,1.86339876e-4,14.6318172623,12.356348168212,0.147458801983,0.301157683046,0.26233387494,0.035359825851,0.049783410355,0.0602168921,0.069455849736,0.079254147027,0.090381969098,0.103833307577,0.123283361139,0.152291703854,0.236139533262,0.964362530745,50.772304534912,2567801,5072.43648354739,3846.16405165681,FALSE,micro,survey,7.478,0.162653803846,2.551434596332,
Europe & Central Asia,ECS,Albania,ALB,2020,national,HBS,national,2020,consumption,3,2018 - 2020,3,0.003409224478,3.52809969e-4,5.0713426e-5,3.81898757e-4,14.847157013642,12.838600685336,0.142736285972,0.294196298171,0.256354313245,0.034180198398,0.050261743249,0.060896200226,0.071092496205,0.08109745104,0.092200084527,0.105630868773,0.124418394428,0.152666423481,0.227556139673,0.979993755446,50.772304534912,2528480,4980.61699524696,3687.13640144424,FALSE,micro,survey,7.719,0.164397297904,2.512495242655,
"Middle East, North Africa, Afghanistan & Pakistan",MEA,United Arab Emirates,ARE,2013,national,HIES,national,2013.42,income,0,2013 - 2018,3,0,0,0,0,74.662923293034,67.132309297749,0.192562087876,0.325104208858,0.323312353906,0.023497326715,0.038642840655,0.053066228261,0.06738315328,0.082186395891,0.098176619988,0.11635509094,0.138427579795,0.167911609882,0.214353154593,0.922829019416,2.727601766586,7846922.780000027,44312.6337162614,17532.9493528062,FALSE,group,survey,34.866,0.20541,0.574808842774,
"Middle East, North Africa, Afghanistan & Pakistan",MEA,United Arab Emirates,ARE,2018,national,HIES,national,2018,income,0,2013 - 2018,3,0,0,0,0,81.180980235912,76.518792113595,0.135325418399,0.263990043944,0.206274012308,0.028349685726,0.053640054156,0.068373005876,0.079582257661,0.089456065811,0.099174768633,0.109823265722,0.123123811597,0.143671643942,0.204805440877,1.039474411567,2.727601766586,9346701,43377.7858697225,17469.8225883834,FALSE,group,survey,39.559,0.12204,0.485331062678,
Latin America & Caribbean,LCN,Argentina,ARG,1980,urban,EPH,urban,1980,income,0,1980 - 1991,3,0,0,0,0,35.479446619368,27.129506535232,0.287917587121,0.408308603303,0.372918597327,0.020098563654,0.032864354828,0.044929877051,0.056978585226,0.069689033571,0.083945640613,0.10122462704,0.124679981781,0.163835630394,0.301753705842,0.012632220455,42.986240386963,23211516,10275.7987023886,,FALSE,group,survey,14.865,0.22458,1.394109200999,
Latin America & Caribbean,LCN,Argentina,ARG,1986,urban,EPH,urban,1986,income,0,1980 - 1991,3,0.012647202596,0.010216785995,0.009136511602,0.026426095533,38.42675119772,27.716040651853,0.346515881657,0.427975056465,0.384633955475,0.017775245166,0.033569337319,0.043552513928,0.055175765396,0.066639816972,0.0798478296,0.097334433922,0.120926932774,0.163270049848,0.321908075075,0.003237793432,42.986240386963,26318920,9378.46866394349,,FALSE,micro,survey,15.158,0.215938857374,2.39731941868,
Latin America & Caribbean,LCN,Argentina,ARG,1987,urban,EPH,urban,1987,income,0,1980 - 1991,3,0.014871475356,0.009062589896,0.007233129471,0.021155626768,35.124087323009,24.429858974758,0.380762302035,0.452672895742,0.410318438801,0.015683744926,0.030154684975,0.041190907448,0.051914356101,0.06345038962,0.077232987499,0.095154653674,0.119496158631,0.163303275445,0.342418841682,0.007490139479,42.986240386963,26857591,9484.45876638052,,FALSE,micro,survey,13.515,0.228090952217,2.362485903597,
Latin America & Caribbean,LCN,Argentina,ARG,1991,urban,EPH,urban,1991,income,0,1980 - 1991,3,0.012815983745,0.007090072506,0.005143761938,0.014929834181,24.924353575138,16.514070018993,0.388671225729,0.467542730349,0.405788983706,0.017507449463,0.03055301594,0.040586253526,0.049992469453,0.060608696314,0.07238894704,0.088960182082,0.114114858166,0.159224444297,0.366063683719,75.689004088849,42.986240386963,28981810,8729.82318518892,,FALSE,micro,survey,9.557,0.224134033357,2.672737908523,
Latin America & Caribbean,LCN,Argentina,ARG,1992,urban,EPH,urban,1992,income,1,1992 - 1997,3,0.024939560041,0.012548528989,0.009201010632,0.026897147146,25.136711189839,17.27111197383,0.380590133936,0.454548422205,0.427533049052,0.016106317184,0.030003139753,0.04070203877,0.051215941093,0.062101474557,0.076568848325,0.09413032129,0.120722265466,0.165611009654,0.342838643907,0.008930437792,42.986240386963,29475632,9293.18692251748,,FALSE,micro,survey,9.936,0.241368140031,3.056260312847,
Latin America & Caribbean,LCN,Argentina,ARG,1993,urban,EPH,urban,1993,income,1,1992 - 1997,3,0.029125019515,0.01382703411,0.009525769198,0.02829398237,25.189574508465,17.652037169747,0.377574842088,0.448430965506,0.421860325064,0.014935487413,0.029657409574,0.040989268328,0.052187865887,0.064167877386,0.078969886139,0.096698282733,0.123451698537,0.167092132279,0.331850091724,0.009722700908,42.986240386963,29962442,9920.67358582437,6116.87888674423,FALSE,micro,survey,10.126,0.242962649882,3.084788729257,
Latin America & Caribbean,LCN,Argentina,ARG,1994,urban,EPH,urban,1994,income,1,1992 - 1997,3,0.027062604958,0.014938598603,0.011411245884,0.033439855863,24.886272559669,17.068841838524,0.396114142836,0.458980401029,0.427191865773,0.015096901864,0.028806027721,0.039567104709,0.050678223284,0.063134824081,0.077171894131,0.094989224056,0.121058331831,0.165160664695,0.344336803628,0.01008178386,42.986240386963,30447613,10359.8927204871,6401.70726807443,FALSE,micro,survey,9.834,0.247007816923,3.387769846578,
Latin America & Caribbean,LCN,Argentina,ARG,1995,urban,EPH,urban,1995,income,1,1992 - 1997,3,0.051193652596,0.025445102712,0.017777484212,0.052064097604,23.641156785338,15.778318430324,0.461284098477,0.488780965104,0.447631993148,0.0115024114,0.026301477462,0.03685284973,0.047332987641,0.059122060583,0.073580127938,0.090705079171,0.116850645112,0.168141262093,0.36961109887,0.01030047225,42.986240386963,30926626,9934.10776139515,6041.77397967512,FALSE,micro,survey,9.189,0.267953652601,4.16407633979,
Latin America & Caribbean,LCN,Argentina,ARG,1996,urban,EPH,urban,1996,income,1,1992 - 1997,3,0.054114296543,0.030181030241,0.022622244236,0.065818253925,23.16050303639,15.13741823948,0.485672190056,0.49490517276,0.471092478052,0.010571454196,0.024805129779,0.03555060459,0.046428516032,0.058318604831,0.073007987693,0.091961918021,0.11978085037,0.170956958662,0.368617975826,0.010321554724,42.986240386963,31392585,10352.1400002191,6296.48453158619,FALSE,micro,survey,8.869,0.274472873017,4.81616640986,
Latin America & Caribbean,LCN,Argentina,ARG,1997,urban,EPH,urban,1997,income,1,1992 - 1997,3,0.052120192905,0.025270389934,0.017985408661,0.052336092615,24.266980229005,16.209293789128,0.469888209335,0.490852412111,0.473790993394,0.010994912248,0.024661893533,0.035171906912,0.046867869082,0.059359860436,0.073082134813,0.092749025466,0.120743063895,0.172765821159,0.363603512458,0.010380481663,42.986240386963,31848753,11056.6881331002,6778.85126022464,FALSE,micro,survey,9.405,0.282428324223,4.184862295586,
Latin America & Caribbean,LCN,Argentina,ARG,1998,urban,EPH,urban,1998,income,2,1998 - 2002,3,0.056602220288,0.0256303306,0.016848692894,0.049253799836,23.563653220415,14.829559187363,0.493545998701,0.507127070218,0.495056799523,0.010789993397,0.023426550117,0.033656995867,0.044342998367,0.056366621478,0.070634124737,0.090512523711,0.11957685191,0.170239613985,0.380453726431,0.01049530564,42.986240386963,32296565,11348.2022124673,6932.44804328059,FALSE,micro,survey,8.715,0.283324376436,4.110240500916,
